Voltage (V),Current (A),Capacity (mAh),T1(C),
3.6892,-13.9998,11627.1,37,
3.6881,-13.9983,11665.9,37.1,
3.687,-13.9983,11704.8,37.1,
3.6859,-13.9983,11743.7,37.1,
3.6847,-13.9992,11782.6,37.1,
3.6835,-13.9988,11821.5,37.1,
3.6823,-13.9992,11860.4,37.2,
3.6812,-13.9989,11899.3,37.2,
3.6799,-13.999,11938.1,37.2,
3.6787,-13.999,11977,37.2,
3.6774,-13.999,12015.9,37.2,
3.6762,-13.9994,12054.8,37.2,
3.6749,-13.999,12093.7,37.3,
3.6736,-13.9994,12132.6,37.2,
3.6723,-13.9991,12171.5,37.3,
3.6709,-13.9995,12210.4,37.3,
3.6695,-13.999,12249.2,37.3,
3.668,-13.9993,12288.1,37.3,
3.6664,-13.9993,12327,37.3,
3.6649,-13.999,12365.9,37.3,
3.6633,-13.9993,12404.8,37.3,
3.6616,-13.9991,12443.7,37.3,
3.6599,-13.9995,12482.6,37.3,
3.6583,-13.999,12521.4,37.4,
3.6568,-13.9993,12560.3,37.4,
3.6553,-13.9986,12599.2,37.4,
3.654,-13.9987,12638.1,37.4,
3.6529,-13.9997,12677,37.4,
3.6519,-13.9999,12715.9,37.4,
3.651,-13.9994,12754.8,37.4,
3.6502,-13.9997,12793.7,37.4,
3.6494,-13.9994,12832.5,37.4,
3.6487,-13.9996,12871.4,37.5,
3.6479,-13.9989,12910.3,37.5,
3.6471,-13.9998,12949.2,37.5,
3.6463,-13.9997,12988.1,37.5,
3.6455,-13.999,13027,37.5,
3.6446,-13.9987,13065.9,37.5,
3.6436,-13.9992,13104.7,37.5,
3.6427,-13.9994,13143.6,37.4,
3.6416,-13.9993,13182.5,37.4,
3.6404,-13.9992,13221.4,37.4,
3.6392,-13.9988,13260.3,37.4,
3.6378,-13.9992,13299.2,37.3,
3.6363,-13.999,13338.1,37.3,
3.6345,-13.999,13377,37.3,
3.6325,-13.9993,13415.8,37.3,
3.6301,-13.9991,13454.7,37.3,
3.6272,-13.9992,13493.6,37.3,
3.6237,-13.9997,13532.5,37.3,
3.6194,-13.9995,13571.4,37.4,
3.614,-13.9993,13610.3,37.3,
3.6075,-13.9988,13649.2,37.4,
3.5999,-13.9992,13688,37.4,
3.5913,-13.9991,13726.9,37.4,
3.5817,-13.9994,13765.8,37.4,
3.5711,-13.9993,13804.7,37.4,
3.5597,-13.9994,13843.6,37.4,
3.5473,-13.999,13882.5,37.4,
3.5339,-13.9995,13921.4,37.5,
3.5196,-13.9991,13960.3,37.5,
3.504,-13.9993,13999.1,37.6,
3.4872,-13.9988,14038,37.6,
